name,1,2,3,4,5
ACCEPTANCE,0,0,1,0,0
ACHIEVEMENT,0,0,1,0,0
ADVENTURE,0,0,0,0,1
ART,0,0,0,1,0
ATTRACTIVENESS,0,0,0,1,0
ACCURACY,0,0,0,0,1
AUTHORITY,0,1,0,0,0
AUTONOMY,0,0,0,0,1
BEAUTY,0,0,0,1,0
BELONGING,0,1,0,0,0
CARING,0,0,0,1,0
CHALLENGE,0,0,0,1,0
COMFORT,0,0,1,0,0
COMMITMENT,0,1,0,0,0
COMPASSION,0,0,0,0,1
COMPLEXITY,0,0,0,1,0
COMPROMISE,0,0,1,0,0
CONTRIBUTION,0,0,0,1,0
COOPERATION,0,0,1,0,0
COURAGE,0,0,0,0,1
COURTESY,0,0,0,0,1
CREATIVITY,0,0,0,0,1
CURIOSITY,0,0,0,0,1
DEPENDABILITY,0,0,0,0,1
DILIGENCE,0,0,0,1,0
DUTY,0,0,0,1,0
ECOLOGY,0,0,0,1,0
EXCITEMENT,0,0,1,0,0
FAITHFULNESS,0,0,0,1,0
FAME,1,0,0,0,0
FAMILY,0,0,0,1,0
FITNESS,0,0,0,1,0
FLEXIBILITY,0,0,0,1,0
FORGIVENESS,0,0,0,0,1
FREEDOM,0,0,0,0,1
FRIENDSHIP,0,0,0,1,0
FUN,0,0,0,1,0
GENEROSITY,0,0,0,0,1
GENUINENESS,0,0,0,0,1
FLOW,0,0,0,1,0
GRATITUDE,0,0,0,1,0
GROWTH,0,0,0,0,1
HEALTH,0,0,0,0,1
HONESTY,0,0,0,1,0
HOPE,0,0,1,0,0
HUMILITY,0,0,0,1,0
HUMOR,0,0,0,0,1
IMAGINATION,0,0,0,0,1
INDEPENDENCE,0,0,0,0,1
INDUSTRY,0,1,0,0,0
INNER_PEACE,0,0,0,0,1
INTEGRITY,0,0,0,0,1
INTELLIGENCE,0,0,0,0,1
INTIMACY,0,0,0,0,1
JUSTICE,0,1,0,0,0
KNOWLEDGE,0,0,0,0,1
LEADERSHIP,1,0,0,0,0
LEISURE,0,0,0,1,0
LOVED,0,0,0,1,0
LOVING,0,0,0,1,0
MASTERY,0,1,0,0,0
MINDFULNESS,0,0,0,0,1
MODERATION,0,1,0,0,0
MONOGAMY,0,0,0,1,0
MUSIC,0,0,0,0,1
NON_CONFORMITY,0,0,0,0,1
NOVELTY,0,0,0,0,1
NURTURANCE,0,0,0,0,1
OPENNESS,0,0,0,0,1
ORDER,0,0,1,0,0
PASSION,0,0,0,1,0
PATRIOTISM,1,0,0,0,0
PLEASURE,0,0,1,0,0
POPULARITY,1,0,0,0,0
POWER,0,0,0,0,1
PRACTICALITY,1,0,0,0,0
PROTECT,0,0,0,0,1
PROVIDE,0,0,1,0,0
PURPOSE,1,0,0,0,0
RATIONALITY,0,0,0,1,0
REALISM,0,1,0,0,0
RESPONSIBILITY,0,0,0,0,1
RISK,0,0,1,0,0
ROMANCE,0,0,0,0,1
SAFETY,0,0,1,0,0
SELF_ACCEPTANCE,0,0,0,1,0
SELF_CONTROL,0,0,0,0,1
SELF_ESTEEM,0,0,0,0,1
SELF_KNOWLEDGE,0,0,0,0,1
SERVICE,0,0,0,1,0
SEXUALITY,0,0,0,1,0
SIMPLICITY,0,0,1,0,0
SOLITUDE,0,0,1,0,0
SPIRITUALITY,1,0,0,0,0
STABILITY,1,0,0,0,0
TOLERANCE,0,0,0,0,1
TRADITION,1,0,0,0,0
VIRTUE,0,0,0,0,1
WEALTH,0,0,1,0,0
